#chr	start	end	TSS_num	strand	zfh1_count	ctrl_count	responsiveness
chr2L	2037670	2037671	TSS_11080	-	5	0	1.75509432621
chr2L	2037710	2037711	TSS_9498	+	6	0	1.97038325308
chr2L	2067022	2067023	TSS_3020	-	38	1	8.95838551567
chr2L	2092910	2092911	TSS_11092	-	5	0	1.75509432621
chr2L	2109887	2109888	TSS_6137	-	11	0	3.05671670715
chr2L	2130816	2130817	TSS_4033	+	22	0	5.45920297848
chr2L	2130878	2130879	TSS_2514	-	52	2	12.0211073968
chr2L	2146254	2146255	TSS_8403	+	7	0	2.1867255063
chr2L	2151382	2151383	TSS_9511	-	6	0	1.97038325308
chr2L	2161332	2161333	TSS_3767	+	25	2	6.11511756647
chr2L	2161521	2161522	TSS_2003	-	77	1	17.4908691849
chr2L	2169146	2169147	TSS_9512	-	6	0	1.97038325308
chr2L	2178715	2178716	TSS_9514	-	6	0	1.97038325308
chr2L	2178748	2178749	TSS_175	-	625	1	137.400012876
chr2L	2182112	2182113	TSS_11109	-	5	0	1.75509432621
chr2L	2196641	2196642	TSS_7591	+	8	0	2.40371021526
chr2L	2198963	2198964	TSS_6995	-	9	0	2.62111566649
chr2L	2219480	2219481	TSS_9520	-	6	0	1.97038325308
chr2L	2230011	2230012	TSS_5803	-	12	0	3.2747771865
chr2L	2242351	2242352	TSS_9524	+	6	0	1.97038325308
chr2L	2242378	2242379	TSS_686	+	288	0	63.6597788037
chr2L	2242414	2242415	TSS_683	-	289	0	63.8785919433
chr2L	2251294	2251295	TSS_8411	-	7	0	2.1867255063
chr2L	2307941	2307942	TSS_7597	+	8	0	2.40371021526
chr2L	2311680	2311681	TSS_1802	+	125	3	20.8777715061
chr2L	2364599	2364600	TSS_7598	-	8	0	2.40371021526
chr2L	2364720	2364721	TSS_4035	-	22	0	5.45920297848
chr2L	2371523	2371524	TSS_7599	-	8	0	2.40371021526
chr2L	2373729	2373730	TSS_2439	-	55	0	12.6774500913
chr2L	2378648	2378649	TSS_8416	+	7	0	2.1867255063
chr2L	2391659	2391660	TSS_4148	+	21	0	5.24059880358
chr2L	2400756	2400757	TSS_8417	+	7	0	2.1867255063
chr2L	2412343	2412344	TSS_11126	-	5	0	1.75509432621
chr2L	2415321	2415322	TSS_11127	-	5	0	1.75509432621
chr2L	2427793	2427794	TSS_4036	-	22	0	5.45920297848
chr2L	2427953	2427954	TSS_8418	-	7	0	2.1867255063
chr2L	2428195	2428196	TSS_7600	-	8	0	2.40371021526
chr2L	2428371	2428372	TSS_3253	+	33	1	7.86469694809
chr2L	2433230	2433231	TSS_3143	-	35	0	8.30215913796
chr2L	2444140	2444141	TSS_6140	+	11	0	3.05671670715
chr2L	2448644	2448645	TSS_11128	+	5	0	1.75509432621
chr2L	2450192	2450193	TSS_9530	+	6	0	1.97038325308
chr2L	2451038	2451039	TSS_6141	-	11	0	3.05671670715
chr2L	2451240	2451241	TSS_2294	+	61	0	13.9901651721
chr2L	2454738	2454739	TSS_11129	+	5	0	1.75509432621
chr2L	2462124	2462125	TSS_9531	-	6	0	1.97038325308
chr2L	2468691	2468692	TSS_9532	-	6	0	1.97038325308
chr2L	2478834	2478835	TSS_11130	+	5	0	1.75509432621
chr2L	2481791	2481792	TSS_2901	+	41	0	9.61464379974
chr2L	2492954	2492955	TSS_3059	+	37	1	8.73963945825
chr2L	2494077	2494078	TSS_4686	-	17	0	4.36643369141
chr2L	2564826	2564827	TSS_11131	-	5	0	1.75509432621
chr2L	2585427	2585428	TSS_9365	-	24	8	2.16634443661
chr2L	2592116	2592117	TSS_4272	+	20	0	5.02201595633
chr2L	2631461	2631462	TSS_11132	+	5	0	1.75509432621
chr2L	2677733	2677734	TSS_692	+	285	1	63.0033394327
chr2L	2703711	2703712	TSS_11133	-	5	0	1.75509432621
chr2L	2723050	2723051	TSS_6999	-	9	0	2.62111566649
chr2L	2730128	2730129	TSS_922	+	220	1	48.7805095829
chr2L	2730115	2730116	TSS_6142	-	11	0	3.05671670715
chr2L	2735813	2735814	TSS_1433	+	131	0	29.3063315974
chr2L	2752802	2752803	TSS_1228	+	158	0	35.2141933922
chr2L	2753059	2753060	TSS_4037	-	22	0	5.45920297848
chr2L	2753237	2753238	TSS_138	+	1764	7	150.88311694
chr2L	2759033	2759034	TSS_11134	+	5	0	1.75509432621
chr2L	2765581	2765582	TSS_5037	-	15	0	3.92957396706
chr2L	2767722	2767723	TSS_7601	-	8	0	2.40371021526
chr2L	2779042	2779043	TSS_7602	+	8	0	2.40371021526
chr2L	2802276	2802277	TSS_11136	-	5	0	1.75509432621
chr2L	2805268	2805269	TSS_3374	+	31	0	7.42725643173
chr2L	2808299	2808300	TSS_439	+	391	1	86.1975627482
chr2L	2830246	2830247	TSS_94	-	1537	5	170.900767783
chr2L	2837830	2837831	TSS_9533	-	6	0	1.97038325308
chr2L	2838927	2838928	TSS_8419	+	7	0	2.1867255063
chr2L	2845737	2845738	TSS_4530	-	18	2	4.58492870335
chr2L	2846334	2846335	TSS_7603	-	8	0	2.40371021526
chr2L	2853491	2853492	TSS_5499	+	13	0	3.49295637577
chr2L	2855306	2855307	TSS_1176	-	167	0	37.1834895588
chr2L	2855343	2855344	TSS_9534	-	6	0	1.97038325308
chr2L	2855506	2855507	TSS_11137	+	5	0	1.75509432621
chr2L	2856116	2856117	TSS_6477	+	59	16	2.93856717118
chr2L	2857180	2857181	TSS_5038	+	15	0	3.92957396706
chr2L	2862538	2862539	TSS_1554	+	116	0	26.0242110943
chr2L	2870351	2870352	TSS_9535	-	6	0	1.97038325308
chr2L	2870420	2870421	TSS_9536	+	6	0	1.97038325308
chr2L	2871486	2871487	TSS_11138	+	5	0	1.75509432621
chr2L	2874117	2874118	TSS_3702	-	26	0	6.3337831651
chr2L	2876174	2876175	TSS_6520	+	10	0	2.83881166131
chr2L	2880418	2880419	TSS_6521	+	10	0	2.83881166131
chr2L	2882150	2882151	TSS_7000	+	9	0	2.62111566649
chr2L	2885207	2885208	TSS_2804	-	142	9	10.203480426
chr2L	2885849	2885850	TSS_9380	-	15	5	2.07415123124
chr2L	2885938	2885939	TSS_5805	+	12	2	3.2747771865
chr2L	2888184	2888185	TSS_9537	+	6	0	1.97038325308
chr2L	2888249	2888250	TSS_7001	+	9	0	2.62111566649
chr2L	2898494	2898495	TSS_11139	+	5	0	1.75509432621
chr2L	2949635	2949636	TSS_11141	-	5	0	1.75509432621
chr2L	2949684	2949685	TSS_11142	+	5	0	1.75509432621
chr2L	2950342	2950343	TSS_6143	-	11	0	3.05671670715
chr2L	2950813	2950814	TSS_9538	-	6	0	1.97038325308
chr2L	2951029	2951030	TSS_4531	-	18	0	4.58492870335
chr2L	2959088	2959089	TSS_9539	+	6	0	1.97038325308
chr2L	2959146	2959147	TSS_1104	+	180	0	40.0280341814
chr2L	2961427	2961428	TSS_7002	-	9	0	2.62111566649
chr2L	2963743	2963744	TSS_11143	+	5	0	1.75509432621
chr2L	2983436	2983437	TSS_5263	+	14	0	3.71122827673
chr2L	2987717	2987718	TSS_6144	-	11	0	3.05671670715
chr2L	2993672	2993673	TSS_5039	+	15	1	3.92957396706
chr2L	2994105	2994106	TSS_11144	-	5	0	1.75509432621
chr2L	2994763	2994764	TSS_9540	+	6	0	1.97038325308
chr2L	2999285	2999286	TSS_2440	+	55	0	12.6774500913
chr2L	3005288	3005289	TSS_8420	-	7	0	2.1867255063
chr2L	3013851	3013852	TSS_3144	+	35	0	8.30215913796
chr2L	3013908	3013909	TSS_4687	+	17	0	4.36643369141
chr2L	3013944	3013945	TSS_2944	-	40	0	9.39588793969
chr2L	3015241	3015242	TSS_5806	-	12	0	3.2747771865
chr2L	3018299	3018300	TSS_3703	-	26	0	6.3337831651
chr2L	3018811	3018812	TSS_8421	-	7	0	2.1867255063
chr2L	3018861	3018862	TSS_3493	+	29	0	6.9898421195
chr2L	3023231	3023232	TSS_10871	+	14	5	1.96524456479
chr2L	3027960	3027961	TSS_11145	+	5	0	1.75509432621
chr2L	3028034	3028035	TSS_9541	-	6	0	1.97038325308
chr2L	3031067	3031068	TSS_9542	-	6	0	1.97038325308
chr2L	3036170	3036171	TSS_7604	-	8	0	2.40371021526
chr2L	3038012	3038013	TSS_9543	+	6	0	1.97038325308
chr2L	3043949	3043950	TSS_6522	+	10	0	2.83881166131
chr2L	3046764	3046765	TSS_2130	+	265	11	15.9785733229
chr2L	3053932	3053933	TSS_8422	+	7	0	2.1867255063
chr2L	3056598	3056599	TSS_3199	+	34	0	8.08342557499
chr2L	3059064	3059065	TSS_8423	-	7	0	2.1867255063
chr2L	3072367	3072368	TSS_5500	-	13	0	3.49295637577
chr2L	3086412	3086413	TSS_2854	-	42	0	9.83340246127
chr2L	3086487	3086488	TSS_11146	-	5	0	1.75509432621
chr2L	3088389	3088390	TSS_11147	-	5	0	1.75509432621
chr2L	3090566	3090567	TSS_176	-	624	0	137.181198842
chr2L	3092475	3092476	TSS_11148	-	5	0	1.75509432621
chr2L	3108141	3108142	TSS_2225	-	65	0	14.8653261342
chr2L	3108167	3108168	TSS_11149	-	5	0	1.75509432621
chr2L	3124688	3124689	TSS_8424	-	7	1	2.1867255063
chr2L	3124715	3124716	TSS_847	-	239	2	52.9379466282
chr2L	3124769	3124770	TSS_11150	-	5	0	1.75509432621
chr2L	3124848	3124849	TSS_4038	-	22	0	5.45920297848
chr2L	3144824	3144825	TSS_3937	-	33	3	5.89137702498
chr2L	3145704	3145705	TSS_6146	-	11	0	3.05671670715
chr2L	3148636	3148637	TSS_7003	-	9	0	2.62111566649
chr2L	3152767	3152768	TSS_948	-	212	0	47.0300116111
chr2L	3161038	3161039	TSS_11151	+	5	0	1.75509432621
chr2L	3163649	3163650	TSS_2937	+	108	7	9.54474575655
chr2L	3191402	3191403	TSS_9545	-	6	0	1.97038325308
chr2L	3193420	3193421	TSS_11152	-	5	0	1.75509432621
chr2L	3196178	3196179	TSS_11153	+	5	0	1.75509432621
chr2L	3279469	3279470	TSS_7606	-	8	0	2.40371021526
chr2L	3303128	3303129	TSS_1741	-	97	0	21.8669001588
chr2L	3354828	3354829	TSS_793	-	423	4	56.0521333417
chr2L	3364465	3364466	TSS_11154	-	5	0	1.75509432621
chr2L	3366095	3366096	TSS_11155	+	5	0	1.75509432621
chr2L	3367627	3367628	TSS_7607	-	8	0	2.40371021526
chr2L	3369230	3369231	TSS_5808	-	12	0	3.2747771865
chr2L	3371411	3371412	TSS_693	-	285	2	63.0033394327
chr2L	3375726	3375727	TSS_1040	-	192	0	42.6537726108
chr2L	3400361	3400362	TSS_7004	+	9	0	2.62111566649
chr2L	3422798	3422799	TSS_6147	+	11	0	3.05671670715
chr2L	3422952	3422953	TSS_6148	-	11	0	3.05671670715
chr2L	3450165	3450166	TSS_11156	+	5	0	1.75509432621
chr2L	3461942	3461943	TSS_3560	-	28	0	6.77114656352
chr2L	3466035	3466036	TSS_2810	-	43	0	10.0521637275
chr2L	3466082	3466083	TSS_7522	-	12	3	2.4804987602
chr2L	3466180	3466181	TSS_8425	+	7	0	2.1867255063
chr2L	3478433	3478434	TSS_235	+	1267	6	122.405324907
chr2L	3491065	3491066	TSS_727	-	272	1	60.1587697076
chr2L	3507217	3507218	TSS_1583	-	113	0	25.3677899847
chr2L	3508118	3508119	TSS_3311	-	32	0	7.64597372435
chr2L	3517805	3517806	TSS_7005	+	9	0	2.62111566649
chr2L	3525132	3525133	TSS_3106	+	36	0	8.52089722223
chr2L	3534528	3534529	TSS_7608	+	8	0	2.40371021526
chr2L	3536688	3536689	TSS_11157	-	5	0	1.75509432621
chr2L	3539250	3539251	TSS_4532	+	18	0	4.58492870335
chr2L	3539755	3539756	TSS_264	+	714	3	116.8497259
chr2L	3557840	3557841	TSS_3769	+	25	0	6.11511756647
chr2L	3580765	3580766	TSS_1951	-	81	1	18.3660652865
chr2L	3588198	3588199	TSS_11158	+	5	0	1.75509432621
chr2L	3592590	3592591	TSS_11159	-	5	0	1.75509432621
chr2L	3606540	3606541	TSS_1028	-	505	7	43.426074643
chr2L	3606747	3606748	TSS_4039	-	22	0	5.45920297848
chr2L	3619262	3619263	TSS_6523	+	10	0	2.83881166131
chr2L	3632151	3632152	TSS_972	-	206	0	45.7171389611
chr2L	3639919	3639920	TSS_1399	-	135	0	30.1815672537
chr2L	3639923	3639924	TSS_6149	+	11	0	3.05671670715
chr2L	3639950	3639951	TSS_4851	-	16	0	4.1479793462
chr2L	3646136	3646137	TSS_1596	-	111	0	24.9301765656
chr2L	3662719	3662720	TSS_705	+	282	2	62.3469001354
chr2L	3665571	3665572	TSS_11160	+	5	0	1.75509432621
chr2L	3688720	3688721	TSS_8426	+	7	0	2.1867255063
chr2L	3697801	3697802	TSS_6524	-	10	0	2.83881166131
chr2L	3703644	3703645	TSS_8427	+	7	0	2.1867255063
chr2L	3703983	3703984	TSS_11161	-	5	0	1.75509432621
chr2L	3705481	3705482	TSS_8428	-	7	0	2.1867255063
chr2L	3705490	3705491	TSS_11162	+	5	0	1.75509432621
chr2L	3706928	3706929	TSS_11163	-	5	0	1.75509432621
chr2L	3707059	3707060	TSS_3561	-	28	1	6.77114656352
chr2L	3718186	3718187	TSS_1162	+	169	1	37.6211113975
chr2L	3730464	3730465	TSS_130	+	705	1	154.905137819
chr2L	3757254	3757255	TSS_9546	+	6	0	1.97038325308
chr2L	3771706	3771707	TSS_1804	+	92	0	20.7728820062
chr2L	3778937	3778938	TSS_3562	+	28	0	6.77114656352
chr2L	3781423	3781424	TSS_11164	-	5	0	1.75509432621
chr2L	3787169	3787170	TSS_1664	+	104	0	23.3985341955
chr2L	3787319	3787320	TSS_3254	-	33	0	7.86469694809
chr2L	3803547	3803548	TSS_6150	+	11	2	3.05671670715
chr2L	3805683	3805684	TSS_3705	+	26	0	6.3337831651
chr2L	3825676	3825677	TSS_309	+	495	1	108.954196678
chr2L	3836841	3836842	TSS_1450	+	174	3	28.8615311772
chr2L	3870316	3870317	TSS_11165	-	5	0	1.75509432621
chr2L	3888837	3888838	TSS_2411	-	56	1	12.8962333863
chr2L	3896127	3896128	TSS_9548	-	6	0	1.97038325308
chr2L	3908768	3908769	TSS_11166	-	5	0	1.75509432621
chr2L	3911786	3911787	TSS_11167	-	5	0	1.75509432621
chr2L	3953200	3953201	TSS_9549	-	6	0	1.97038325308
chr2L	3991732	3991733	TSS_1847	-	121	3	20.2260514586
chr2L	4004943	4004944	TSS_7609	+	8	0	2.40371021526
chr2L	4004983	4004984	TSS_11168	+	5	0	1.75509432621
chr2L	4031382	4031383	TSS_5501	+	13	0	3.49295637577
chr2L	4116726	4116727	TSS_9550	-	6	0	1.97038325308
chr2L	4121702	4121703	TSS_11169	+	5	0	1.75509432621
chr2L	4197376	4197377	TSS_7610	-	8	0	2.40371021526
chr2L	4203316	4203317	TSS_4852	+	16	0	4.1479793462
chr2L	4210386	4210387	TSS_9551	+	6	0	1.97038325308
chr2L	4217262	4217263	TSS_5264	-	14	0	3.71122827673
chr2L	4221795	4221796	TSS_6152	-	11	0	3.05671670715
chr2L	4223753	4223754	TSS_4273	-	20	0	5.02201595633
chr2L	4228734	4228735	TSS_9552	+	6	0	1.97038325308
chr2L	4235236	4235237	TSS_11170	+	5	0	1.75509432621
chr2L	4244613	4244614	TSS_2611	+	49	1	11.3647770381
chr2L	4253915	4253916	TSS_11171	+	5	0	1.75509432621
chr2L	4260548	4260549	TSS_11172	-	5	0	1.75509432621
chr2L	4283150	4283151	TSS_387	+	423	2	93.1996012951
